date,bc_bars,bc_mean,bc_min,bc_max,bars,mean_close,min_close,max_close,bc_mean_close,daily_mean_diff,overlap_bars,mean_overlap_diff
2026-04-08,1188,87.340867003367,83.98,90.31,,,,,,,,
2026-04-09,1372,90.53731778425656,88.3,92.82,,,,,,,,
2026-04-10,1241,90.26360193392426,88.77,91.78,,,,,,,,
2026-04-12,120,96.19149999999999,95.25,96.86,,,,,,,,
2026-04-13,1370,94.54303649635037,90.47,96.34,,,,,,,,
2026-04-14,1374,90.43568413391557,85.52,92.63,,,,,,,,
2026-04-15,1375,88.47197090909091,87.32,90.37,,,,,,,,
2026-04-16,1377,89.26109658678286,87.36,91.75,,,,,,,,
2026-04-17,1259,86.40343923749006,79.21,90.3,,,,,,,,
2026-04-19,120,88.14033333333333,87.63,89.46,37.0,88.4203,88.15,88.58,88.1403,-0.28,37.0,0.0624
2026-04-20,1378,87.2060595065312,85.58,88.83,689.0,87.194,85.55,88.77,87.478,0.284,300.0,0.0462
2026-04-21,1377,87.89287581699347,85.71,92.05,680.0,89.0779,86.39,92.03,,,,
2026-04-22,1372,90.89916180758017,87.81,93.68,27.0,89.5559,88.81,90.46,,,,
2026-04-23,1376,94.72219476744186,92.49,98.28,1146.0,94.5383,92.54,98.26,,,,
2026-04-24,1260,95.76079365079366,93.05,97.8,405.0,94.4425,93.03,95.8,,,,
2026-04-26,120,96.29308333333333,95.93,96.67,119.0,96.2661,95.94,96.62,,,,
2026-04-27,1372,96.15438775510205,94.65,97.53,1369.0,96.1298,94.62,97.44,,,,
2026-04-28,948,98.68282700421942,96.27,101.79,286.0,97.1871,96.25,97.78,,,,
